15:07:03.177:1	 		 0.08811
15:07:03.197:	 		 0.08811
15:07:03.197:	 		 0.08811
15:07:03.197:	 		 0.08811
15:07:03.217:	 		 0.08811
15:07:03.217:	 		 0.08811
15:07:03.217:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08811
15:07:03.247:	 		 0.08
15:07:03.257:811		 0.08811
15:07:03.257:811		 0.08811
15:07:03.257:811		 0.08811
15:07:03.277:	 		 0.08811
15:07:03.277:	 		 0.08811
15:07:03.277:	 		 0.08811
15:07:03.297:	 		 0.08811
15:07:03.297:	 		 0.08811
15:07:03.297:	 		 0.08811
15:07:03.307:	 		 0.08811
15:07:03.307:	 		 0.08811
15:07:03.307:	 		 0.08811
15:07:03.307:	 		 0
15:07:03.327:	 		 0.08811
15:07:03.327:	 		 0.08811
15:07:03.327:	 		 0.08811
15:07:03.337:	 		 0.08811
15:07:03.337:	 		 0.08811
15:07:03.337:	 		 0.08811
15:07:03.357:	 		 0.08811
15:07:03.357:	 		 0.08811
15:07:03.357:	 		 0.08811
15:07:03.377:	 		 0.08811
15:07:03.377:	 		 0.08811
15:07:03.377:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.407:	 		 0.08811
15:07:03.417:	 		 0.08811
15:07:03.417:	 		 0.08811
15:07:03.417:	 		 0.08811
15:07:03.437:	 		 0.08811
15:07:03.437:	 		 0.08811
15:07:03.437:	 		 0.08811
15:07:03.447:	 		 0.08811
15:07:03.447:	 		 0.08811
15:07:03.447:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.477:	 		 0.08811
15:07:03.497:	 		 0.08811
15:07:03.497:	 		 0.08811
15:07:03.497:	 		 0.08811
15:07:03.517:	 		 0.08811
15:07:03.517:	 		 0.08811
15:07:03.517:	 		 0.08811
15:07:03.527:	 		 0.08811
15:07:03.527:	 		 0.08811
15:07:03.527:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.557:	 		 0.08811
15:07:03.577:	 		 0.08811
15:07:03.577:	 		 0.08811
15:07:03.577:	 		 0.08811
15:07:03.597:	 		 0.08811
15:07:03.597:	 		 0.08811
15:07:03.597:	 		 0.08811
15:07:03.607:	 		 0.08811
15:07:03.607:	 		 0.08811
15:07:03.607:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.08811
15:07:03.637:	 		 0.0881
15:07:03.657:1	 		 0.08811
15:07:03.657:1	 		 0.08811
15:07:03.657:1	 		 0.08811
15:07:03.667:	 		 0.08811
15:07:03.667:	 		 0.08811
15:07:03.667:	 		 0.08811
15:07:03.687:	 		 0.08811
15:07:03.687:	 		 0.08811
15:07:03.687:	 		 0.08811
15:07:03.707:	 		 0.08811
15:07:03.707:	 		 0.08811
15:07:03.707:	 		 0.08811
15:07:03.707:	 		 0.
15:07:03.717:08811		 0.08811
15:07:03.717:08811		 0.08811
15:07:03.717:08811		 0.08811
15:07:03.737:	 		 0.08811
15:07:03.737:	 		 0.08811
15:07:03.737:	 		 0.08811
15:07:03.747:	 		 0.08811
15:07:03.747:	 		 0.08811
15:07:03.747:	 		 0.08811
15:07:03.767:	 		 0.08811
15:07:03.767:	 		 0.08811
15:07:03.767:	 		 0.08811
15:07:03.787:	 		 0.08811
15:07:03.787:	 		 0.08811
15:07:03.787:	 		 0.08811
15:07:03.797:	 		 0.08811
15:07:03.797:	 		 0.08811
15:07:03.797:	 		 0.08811
15:07:03.817:	 		 0.08811
15:07:03.817:	 		 0.08811
15:07:03.817:	 		 0.08811
15:07:03.827:	 		 0.08811
15:07:03.827:	 		 0.08811
15:07:03.827:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.857:	 		 0.08811
15:07:03.877:	 		 0.08811
15:07:03.877:	 		 0.08811
15:07:03.877:	 		 0.08811
15:07:03.897:	 		 0.08811
15:07:03.897:	 		 0.08811
15:07:03.897:	 		 0.08811
15:07:03.907:	 		 0.08811
15:07:03.907:	 		 0.08811
15:07:03.907:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.937:	 		 0.08811
15:07:03.957:	 		 0.08811
15:07:03.957:	 		 0.08811
15:07:03.957:	 		 0.08811
15:07:03.967:	 		 0.08811
15:07:03.967:	 		 0.08811
15:07:03.967:	 		 0.08811
15:07:03.987:	 		 0.08811
15:07:03.987:	 		 0.08811
15:07:03.987:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.08811
15:07:04.017:	 		 0.088
15:07:04.037:11	 		 0.08811
15:07:04.037:11	 		 0.08811
15:07:04.037:11	 		 0.08811
15:07:04.047:	 		 0.08811
15:07:04.047:	 		 0.08811
15:07:04.047:	 		 0.08811
15:07:04.067:	 		 0.08811
15:07:04.067:	 		 0.08811
15:07:04.067:	 		 0.08811
15:07:04.087:	 		 0.08811
15:07:04.087:	 		 0.08811
15:07:04.087:	 		 0.08811
15:07:04.087:	 		 0
15:07:04.097:	 		 0.08811
15:07:04.097:	 		 0.08811
15:07:04.097:	 		 0.08811
15:07:04.117:	 		 0.08811
15:07:04.117:	 		 0.08811
15:07:04.117:	 		 0.08811
15:07:04.127:	 		 0.08811
15:07:04.127:	 		 0.08811
15:07:04.127:	 		 0.08811
15:07:04.147:	 		 0.08811
15:07:04.147:	 		 0.08811
15:07:04.147:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.177:	 		 0.08811
15:07:04.197:	 		 0.08811
15:07:04.197:	 		 0.08811
15:07:04.197:	 		 0.08811
15:07:04.207:	 		 0.08811
15:07:04.207:	 		 0.08811
15:07:04.207:	 		 0.08811
15:07:04.227:	 		 0.08811
15:07:04.227:	 		 0.08811
15:07:04.227:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.257:	 		 0.08811
15:07:04.267:	 		 0.08811
15:07:04.267:	 		 0.08811
15:07:04.267:	 		 0.08811
15:07:04.287:	 		 0.08811
15:07:04.287:	 		 0.08811
15:07:04.287:	 		 0.08811
15:07:04.307:	 		 0.08811
15:07:04.307:	 		 0.08811
15:07:04.307:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.337:	 		 0.08811
15:07:04.347:	 		 0.08811
15:07:04.347:	 		 0.08811
15:07:04.347:	 		 0.08811
15:07:04.367:	 		 0.08811
15:07:04.367:	 		 0.08811
15:07:04.367:	 		 0.08811
15:07:04.387:	 		 0.08811
15:07:04.387:	 		 0.08811
15:07:04.387:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.08811
15:07:04.417:	 		 0.088
15:07:04.427:11	 		 0.08811
15:07:04.427:11	 		 0.08811
15:07:04.427:11	 		 0.08811
15:07:04.447:	 		 0.08811
15:07:04.447:	 		 0.08811
15:07:04.447:	 		 0.08811
15:07:04.457:	 		 0.08811
15:07:04.457:	 		 0.08811
15:07:04.457:	 		 0.08811
15:07:04.477:	 		 0.08811
15:07:04.477:	 		 0.08811
15:07:04.477:	 		 0.08811
15:07:04.477:	 		 0
15:07:04.497:	 		 0.08811
15:07:04.497:	 		 0.08811
15:07:04.497:	 		 0.08811
15:07:04.507:	 		 0.08811
15:07:04.507:	 		 0.08811
15:07:04.507:	 		 0.08811
15:07:04.527:	 		 0.08811
15:07:04.527:	 		 0.08811
15:07:04.527:	 		 0.08811
15:07:04.537:	 		 0.08811
15:07:04.537:	 		 0.08811
15:07:04.537:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.567:	 		 0.08811
15:07:04.587:	 		 0.08811
15:07:04.587:	 		 0.08811
15:07:04.587:	 		 0.08811
15:07:04.607:	 		 0.08811
15:07:04.607:	 		 0.08811
15:07:04.607:	 		 0.08811
15:07:04.617:	 		 0.08811
15:07:04.617:	 		 0.08811
15:07:04.617:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.647:	 		 0.08811
15:07:04.667:	 		 0.08811
15:07:04.667:	 		 0.08811
15:07:04.667:	 		 0.08811
15:07:04.687:	 		 0.08811
15:07:04.687:	 		 0.08811
15:07:04.687:	 		 0.08811
15:07:04.697:	 		 0.08811
15:07:04.697:	 		 0.08811
15:07:04.697:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.727:	 		 0.08811
15:07:04.747:	 		 0.08811
15:07:04.747:	 		 0.08811
15:07:04.747:	 		 0.08811
15:07:04.757:	 		 0.08811
15:07:04.757:	 		 0.08811
15:07:04.757:	 		 0.08811
15:07:04.777:	 		 0.08811
15:07:04.777:	 		 0.08811
15:07:04.777:	 		 0.08811
15:07:04.797:	 		 0.08811
15:07:04.797:	 		 0.08811
15:07:04.797:	 		 0.08811
15:07:04.797:	 		 0
15:07:04.807:	 		 0.08811
15:07:04.807:	 		 0.08811
15:07:04.807:	 		 0.08811
15:07:04.827:	 		 0.08811
15:07:04.827:	 		 0.08811
15:07:04.827:	 		 0.08811
15:07:04.837:	 		 0.08811
15:07:04.837:	 		 0.08811
15:07:04.837:	 		 0.08811
15:07:04.857:	 		 0.08811
15:07:04.857:	 		 0.08811
15:07:04.857:	 		 0.08811
